nr,Fibre Volume Fraction,Cut angle ,taverage,waverage,area,R-value1,Fmax,smax,Ncycles,f,E,Temp.,stens,ftens,scomp,fcomp
1328,50.66,0.0,3.86,24.92,96.27,-1.0,32.15,333.91,3.579440597139797,1.22,38.349999999999994,29.984285714285715,774.16,73.65,-450.76,-42.48
1329,51.11,0.0,3.82,25.28,96.65,-1.0,32.61,337.43,3.682145076373832,1.22,37.485,29.984285714285715,801.95,76.27,-529.46,-51.21
1330,49.07,0.0,3.81,25.23,96.04,-1.0,16.9,175.97,6.2391219703552405,4.56,38.525,29.984285714285715,695.03,66.66,-529.59,-50.82
1369,51.11,0.0,3.82,25.3,96.56,-1.0,16.95,175.53,6.071128699937522,4.56,39.545,29.984285714285715,801.95,76.27,-529.46,-51.21
1370,55.05,90.0,6.39,25.12,160.62,-1.0,4.33,26.95,4.2484392081415105,2.54,15.315,29.984285714285715,51.11,8.23,-166.06,-26.65
1371,55.05,90.0,6.14,24.98,153.27,-1.0,4.13,26.95,4.315655525231531,2.54,14.795,29.984285714285715,53.33,8.22,-88.98,-13.91
1372,55.05,90.0,6.14,25.05,153.87,10.0,-23.6,-153.36,2.693726948923647,2.73,15.76,29.984285714285715,53.33,8.22,-88.98,-13.91
1373,55.05,90.0,6.09,25.18,153.45,-1.0,7.2,46.91,2.45484486000851,0.84,15.455,29.984285714285715,53.09,8.11,-148.27,-22.69
1374,55.05,90.0,6.0,25.04,150.3,10.0,-23.05,-153.35,2.8488047010518036,2.73,15.32,29.984285714285715,58.11,8.81,-153.3,-23.0
1375,55.05,90.0,6.17,25.11,154.87,10.0,-23.75,-153.35,2.690196080028514,2.73,15.48,29.984285714285715,50.92,7.88,-88.98,-13.91
1376,55.05,90.0,6.1,25.13,153.4,-1.0,4.13,26.95,3.9146604305892216,2.54,14.48,29.984285714285715,53.33,8.22,-148.27,-22.69
1377,55.05,90.0,6.09,24.98,152.21,10.0,-23.34,-153.34,2.439332693830263,2.73,16.13,29.984285714285715,54.33,8.25,-148.27,-22.69
1378,55.05,90.0,6.06,25.1,152.09,-1.0,7.14,46.92,0.7781512503836436,0.84,15.665000000000001,29.984285714285715,54.33,8.25,-148.27,-22.69
1379,55.05,90.0,6.11,25.14,153.67,-1.0,4.14,26.95,4.00650882777529,2.54,16.185000000000002,27.6,53.33,8.22,-148.27,-22.69
1380,55.05,90.0,5.98,25.03,149.74,10.0,-22.96,-153.36,2.6866362692622934,2.73,15.81,27.5,58.11,8.81,-153.3,-23.0
1381,55.05,90.0,6.12,25.07,153.49,10.0,-22.96,-149.61,2.2329961103921536,2.73,14.98,29.984285714285715,53.33,8.22,-148.27,-22.69
1382,55.05,90.0,6.07,25.12,152.54,-1.0,7.16,46.92,2.568201724066995,0.84,15.975,29.984285714285715,54.33,8.25,-148.27,-22.69
1383,55.05,90.0,6.09,25.08,152.82,-1.0,4.12,26.95,3.994449137014036,2.54,15.149999999999999,29.984285714285715,54.33,8.25,-148.27,-22.69
1384,55.05,90.0,6.18,25.1,155.12,10.0,-23.79,-153.35,2.1931245983544616,2.73,15.4,29.984285714285715,50.92,7.88,-88.98,-13.91
1385,55.05,90.0,6.01,25.12,151.03,10.0,-20.67,-136.84,4.397679353778606,2.73,15.5,29.984285714285715,58.11,8.81,-153.3,-23.0
1386,55.05,90.0,6.31,25.14,158.7,10.0,-21.72,-136.84,3.714078164981856,2.73,15.52,29.984285714285715,58.58,9.15,-168.23,-26.59
1387,55.05,90.0,6.04,25.13,151.81,10.0,-17.46,-115.01,6.3829077837185055,3.86,16.61,27.5,54.33,8.25,-148.27,-22.69
1388,55.05,90.0,6.09,25.1,152.94,-1.0,7.18,46.93,2.3710678622717363,0.84,14.835,29.984285714285715,54.33,8.25,-148.27,-22.69
1389,55.05,90.0,6.08,25.18,153.09,-1.0,7.18,46.93,2.290034611362518,0.84,14.51,29.984285714285715,53.09,8.11,-148.27,-22.69
1390,55.05,90.0,6.0,25.14,150.74,10.0,-17.19,-114.05,6.193868664274395,4.94,14.91,29.984285714285715,58.11,8.81,-153.3,-23.0
1391,55.05,90.0,6.17,24.99,154.11,-1.0,4.15,26.95,4.032659046039924,2.54,15.809999999999999,29.984285714285715,50.92,7.88,-88.98,-13.91
1392,55.05,90.0,6.07,25.06,152.03,10.0,-20.8,-136.84,4.510531605849078,2.73,16.05,29.984285714285715,54.33,8.25,-148.27,-22.69
1393,55.05,90.0,6.1,25.06,152.8,10.0,-20.91,-136.84,4.016615547557177,2.73,16.62,29.984285714285715,61.38,9.39,-148.27,-22.69
1394,55.05,90.0,6.17,25.02,154.39,10.0,-28.01,-181.42,0.0,0.02,15.15,29.984285714285715,50.92,7.88,-88.98,-13.91
1395,55.05,90.0,6.21,24.96,155.06,-1.0,7.28,46.92,2.5728716022004803,0.84,15.315000000000001,29.984285714285715,55.1,8.5,-88.98,-13.91
1396,55.05,90.0,6.06,25.13,152.37,0.1,4.57,30.0,3.8534548413680665,3.41,14.85,29.984285714285715,54.33,8.25,-148.27,-22.69
1397,55.05,90.0,6.27,24.97,156.46,-1.0,7.34,46.93,2.7363965022766426,0.84,14.760000000000002,29.984285714285715,58.58,9.15,-96.63,-15.13
1625,53.73,90.0,6.21,25.51,158.48,10.0,-18.05,-113.86,5.033142177060625,4.96,14.63,29.984285714285715,65.99403515,10.4,236.3554421,37.34
1626,53.73,90.0,6.27,25.56,160.37,10.0,-18.26,-113.86,5.177646141838193,4.96,14.93,25.0,50.31,8.01,-164.85,-26.14
1627,53.73,90.0,6.35,25.46,161.78,0.1,4.97,30.74,5.162624140307846,3.25,14.5,21.8,56.92,9.11,-171.69,-27.52
1649,50.87,0.0,3.61,24.85,89.59,0.1,26.08,290.94,5.72113186048972,6.19,40.25,38.0,798.23,72.8,-465.34,-42.7
1650,50.82,0.0,3.67,24.77,90.7,0.1,35.41,389.95,4.273325424275121,3.35,39.89,51.0,794.02,72.57,-465.34,-42.7
1651,50.87,0.0,3.58,24.83,88.78,0.1,26.06,293.17,5.726819272957204,6.19,40.86,44.15,798.23,72.8,-465.34,-42.7
1652,50.87,0.0,3.63,24.86,90.12,0.1,35.55,394.24,4.3437432950100945,3.35,39.82,44.15,798.23,72.8,-465.34,-42.7
1653,50.87,0.0,3.6,24.93,89.5,0.1,26.17,291.92,5.407016791185454,6.19,39.75,44.15,798.23,72.8,-457.32,-42.3
1654,50.82,0.0,3.58,24.74,88.4,0.1,35.38,399.91,4.45638121798532,3.35,39.13,44.15,818.65,73.99,-474.04,-43.32
1655,50.82,0.0,3.64,24.85,90.44,0.1,44.96,496.5,3.570776368794748,2.09,39.44,49.0,798.23,72.8,-465.34,-42.7
1656,50.82,0.0,3.68,24.75,90.83,0.1,44.8,492.41,3.401745082237063,2.09,40.53,44.15,794.02,72.57,-474.04,-43.32
1657,50.82,0.0,3.62,24.8,89.64,0.1,44.89,500.68,3.4720246977002813,2.09,40.02,44.15,818.65,73.99,-465.34,-42.7
1658,50.82,0.0,3.68,24.66,90.7,-1.0,16.52,181.88,6.254246358796541,4.56,39.685,44.15,794.02,72.57,-474.04,-43.32
1659,50.82,0.0,3.76,24.83,93.22,-1.0,16.64,178.42,6.262245997359259,4.56,39.864999999999995,44.15,774.84,72.18,-450.76,-42.48
1660,50.87,0.0,3.71,24.8,91.88,-1.0,16.62,180.73,6.172820315900704,4.56,39.655,49.0,794.02,72.57,-465.34,-42.7
1661,50.87,0.0,3.7,24.73,91.33,-1.0,23.99,262.52,3.5626496722119168,2.17,39.730000000000004,44.15,794.02,72.57,-474.04,-43.32
1662,50.87,0.0,3.62,24.86,89.97,-1.0,24.12,267.87,4.824223490360817,2.17,40.379999999999995,44.15,798.23,72.8,-465.34,-42.7
1663,50.87,0.0,3.64,24.85,90.34,-1.0,24.1,266.43,4.784453242390176,2.17,40.11,44.0,798.23,72.8,-465.34,-42.7
1664,50.87,0.0,3.6,24.86,89.32,-1.0,39.26,439.26,2.6314437690131722,0.82,40.045,44.15,798.23,72.8,-465.34,-42.7
1665,50.87,0.0,3.67,24.84,90.98,-1.0,39.22,430.31,2.546542663478131,0.82,40.135,44.15,798.23,72.8,-465.34,-42.7
1666,50.87,0.0,3.8,24.83,94.33,-1.0,39.23,415.56,2.401400540781544,0.82,39.68,45.0,811.34,76.46,-450.76,-42.48
1769,56.59,60.0,6.05,25.2,152.48,0.1,5.34,34.99,5.3612158221214585,4.82,13.05,29.984285714285715,72.16,11.09,-150.59,-23.09
1772,56.66,90.0,6.27,25.22,158.11,-1.0,2.8,17.69,5.6721412852125805,5.89,16.14,29.984285714285715,58.34,9.23,-166.17,-26.2
1773,56.66,90.0,6.28,25.24,158.42,0.1,7.6,48.0,0.6020599913279624,0.02,15.64,29.984285714285715,58.34,9.23,-162.3,-25.65
1774,56.66,90.0,6.31,25.22,159.05,0.1,7.64,48.0,1.919078092376074,1.34,14.92,29.984285714285715,58.34,9.23,-168.23,-26.59
1775,56.66,90.0,6.32,25.24,159.5,0.1,7.66,48.0,2.0530784434834195,1.34,14.93,29.984285714285715,58.34,9.23,-168.23,-26.59
1776,56.66,90.0,6.31,25.35,159.96,0.1,7.68,48.0,2.8785217955012063,1.34,15.13,29.984285714285715,58.34,9.23,-168.23,-26.59
1777,56.66,90.0,6.31,25.09,158.3,0.1,7.6,48.0,2.9222062774390163,1.34,15.02,29.984285714285715,58.34,9.23,-168.23,-26.59
1789,53.73,90.0,6.3,25.37,159.89,0.1,5.04,31.5,4.956869269489412,3.1,14.43,29.984285714285715,50.31,8.01,-170.66,-27.22
1790,56.59,60.0,6.06,25.19,152.59,0.1,8.29,54.35,3.598133645813238,1.5,14.62,27.0,72.16,11.09,-150.59,-23.09
1791,56.59,60.0,6.14,25.21,154.71,0.1,8.41,54.35,3.3830969299490943,2.0,13.93,27.3,67.98,10.52,-156.8,-24.23
1792,56.59,60.0,6.07,25.2,152.86,0.1,8.31,54.35,3.5990092398233435,2.0,14.49,29.984285714285715,72.16,11.09,-150.59,-23.09
1793,56.59,60.0,6.05,25.19,152.5,0.1,8.29,54.35,3.5692568333286103,1.0,13.55,29.984285714285715,72.16,11.09,-150.59,-23.09
1794,56.59,60.0,6.05,25.19,152.5,0.1,8.29,54.35,3.3725438007590705,2.0,13.87,29.984285714285715,72.16,11.09,-150.59,-23.09
1795,56.59,10.0,6.21,25.23,156.76,0.1,44.35,282.92,3.0770043267933502,1.5,36.4,29.984285714285715,382.43,59.94,-376.26,-58.6
1796,56.59,10.0,6.13,25.19,154.35,0.1,43.69,283.03,3.1341771075767664,1.5,36.31,29.984285714285715,391.78,60.72,-372.21,-57.77
1797,56.59,10.0,6.15,25.23,155.23,0.1,43.92,282.92,3.185542154854375,1.5,36.66,31.8,391.78,60.72,-372.21,-57.77
1798,56.59,10.0,6.08,25.09,152.46,0.1,43.13,282.92,3.070037866607755,1.5,36.2,29.984285714285715,391.78,60.72,-382.27,-58.5
1799,56.59,10.0,6.17,25.11,154.85,0.1,43.81,282.92,3.0141003215196207,1.5,36.71,34.2,388.93,60.68,-380.96,-59.3
1802,53.73,90.0,6.39,25.5,163.03,0.1,5.07,31.1,5.192034711788002,3.1,13.88,29.984285714285715,51.11,8.23,-162.01,-26.1
1920,56.59,60.0,6.06,25.18,152.67,0.1,5.14,33.67,5.7553968688013954,5.2,13.06,29.984285714285715,72.16,11.09,-150.59,-23.09
1921,56.59,60.0,6.13,25.16,154.31,0.1,5.2,33.7,5.5449741534889725,5.2,14.15,29.984285714285715,67.98,10.52,-156.8,-24.23
1922,53.73,90.0,6.25,25.48,159.23,0.1,6.48,40.67,3.911956189072687,1.86,14.26,29.984285714285715,52.29,8.26,-164.85,-26.14
1923,53.73,90.0,6.28,25.55,160.39,0.1,6.52,40.67,3.946746935033585,1.86,14.08,29.984285714285715,50.31,8.01,-168.36,-26.76
1924,53.73,90.0,6.27,25.5,159.95,0.1,6.51,40.67,3.9928185200666797,1.86,14.5,29.984285714285715,50.31,8.01,-164.85,-26.14
1926,56.66,90.0,6.32,25.18,159.05,-1.0,5.67,35.65,3.699837725867246,1.45,15.465,29.984285714285715,58.34,9.23,-168.23,-26.59
1927,56.66,90.0,6.38,25.13,160.41,-1.0,5.72,35.65,3.530071568837378,1.45,14.92,29.984285714285715,58.34,9.23,-166.06,-26.65
1928,56.66,90.0,6.33,25.03,158.54,-1.0,5.65,35.65,3.91301868374796,1.45,15.275,29.984285714285715,57.5,9.0,-161.59,-25.56
1950,53.31,0.0,3.69,25.11,92.66,10.0,-38.53,-415.79,2.776701183988411,1.58,39.98,23.0,840.96,78.1,-553.82,-51.47
1951,53.31,0.0,3.68,25.16,92.59,10.0,-35.71,-385.7,4.548082170520596,1.86,40.6,23.0,759.87,70.66,-555.14,-51.7
1952,53.31,0.0,3.76,25.13,94.49,10.0,-32.07,-339.44,4.872907622279761,2.34,39.47,23.0,834.17,78.4,-397.56,-37.77
1955,53.31,0.0,3.73,25.11,93.66,10.0,-22.43,-239.48,5.82911650328449,4.83,40.59,23.0,834.17,78.4,-567.05,-53.3
2213,52.41,0.0,3.76,25.47,95.73,-1.0,24.7,257.92,4.274827255438105,2.17,38.775000000000006,28.299625468164795,882.94,84.18,-373.39,-35.75
2214,52.28,0.0,3.76,25.23,94.79,-1.0,16.89,178.04,6.140644092283868,2.28,39.400000000000006,28.299625468164795,920.44,87.79,-373.39,-35.75
2215,52.41,0.0,3.78,25.36,95.62,-1.0,24.58,256.75,4.668665415454492,2.17,37.625,28.299625468164795,920.44,87.79,-373.39,-35.75
2217,52.28,0.0,3.79,25.34,95.81,-1.0,24.51,255.26,4.8477823530039865,2.17,39.6,28.299625468164795,920.44,87.79,-529.53,-51.19
2244,52.41,0.0,3.64,25.38,92.09,-1.0,17.0,184.05,5.992979650690281,4.56,39.575,28.299625468164795,920.42,86.18,-425.33,-39.16
2245,53.4,0.0,3.65,25.38,92.29,-1.0,24.66,266.62,4.891258616904139,2.17,40.25,28.299625468164795,823.58,76.8,-505.21,-46.82
2247,52.41,0.0,3.68,25.34,92.9,-1.0,40.0,429.53,1.505149978319906,0.41,39.455,28.299625468164795,1156.5,109.1,-425.33,-39.16
2248,52.41,0.0,3.68,25.49,93.6,-1.0,24.7,263.73,4.282191456275556,2.17,39.625,28.299625468164795,1156.5,109.1,-425.33,-39.16
2250,52.41,0.0,3.71,25.3,93.55,-1.0,40.0,426.73,2.823474229170301,0.41,39.825,28.299625468164795,919.9,86.13,-438.35,-40.87
2251,52.28,0.0,3.72,25.37,94.26,-1.0,24.58,260.5,4.833344763389635,2.17,39.1,28.299625468164795,919.9,86.13,-460.12,-42.33
2252,52.41,0.0,3.72,25.33,94.19,-1.0,17.0,180.41,5.019386341792188,2.28,38.775000000000006,28.299625468164795,935.27,87.77,-460.12,-42.33
2253,52.41,0.0,3.73,25.44,94.7,-1.0,17.0,179.15,5.928097172117339,4.56,39.025,28.299625468164795,882.94,84.18,-373.39,-35.75
2254,52.41,0.0,3.75,25.29,94.67,-1.0,16.9,178.47,5.999621564673743,2.28,38.425,28.299625468164795,920.44,87.79,-373.39,-35.75
2279,50.82,0.0,3.63,24.77,89.8,-1.0,12.38,137.84,7.29786122948452,8.09,39.955,43.0,818.65,73.99,-465.34,-42.7
2367,56.59,60.0,6.14,25.22,154.83,0.1,5.22,33.71,5.628742353007628,5.2,13.23,29.984285714285715,67.98,10.52,-156.8,-24.23
2368,56.59,60.0,6.09,25.22,153.49,0.1,5.17,33.68,6.012196695282973,5.2,14.09,29.984285714285715,78.47,12.08,-156.03,-24.03
2597,53.84,0.0,3.58,24.92,89.14,10.0,-35.0,-392.4,4.962170376600235,5.1,43.85,28.299625468164795,864.66,78.9,-433.35,-39.04
2598,52.3,0.0,3.58,25.21,90.14,10.0,-35.0,-387.88,5.88349563358854,5.1,43.35,28.299625468164795,920.42,86.18,-422.69,-38.31
2599,54.31,0.0,3.64,25.01,90.88,10.0,-43.0,-473.08,5.69320970751774,4.2,43.55,28.299625468164795,864.66,78.9,-627.63,-57.5
2600,54.31,0.0,3.61,24.93,89.8,10.0,-35.0,-389.52,5.9627991549544275,5.1,43.61,22.7,864.66,78.9,-565.95,-51.2
2679,54.75,90.0,6.3,25.12,158.26,0.1,3.17,20.0,6.129639307477761,8.2,14.4,29.984285714285715,58.58,9.15,-164.05,-25.88
2706,51.11,0.0,3.81,25.34,96.47,10.0,-40.42,-418.99,4.797848981363836,4.17,39.55,29.984285714285715,801.95,76.27,-529.53,-51.19
2707,51.11,0.0,3.77,25.3,95.29,10.0,-39.93,-419.0,0.3010299956639812,0.02,39.61,29.984285714285715,801.95,76.27,-522.98,-49.73
2709,51.11,0.0,3.76,25.37,95.38,10.0,-35.91,-376.49,0.0,0.02,39.66,29.984285714285715,801.95,76.27,-522.98,-49.73
2711,51.11,0.0,3.8,25.36,96.44,10.0,-40.42,-419.07,3.6058435390580894,3.31,38.32,30.7,801.95,76.27,-489.89,-47.31
2712,51.11,0.0,3.79,25.31,95.92,10.0,-42.24,-440.34,5.554016448585713,3.0,39.2,33.5,801.95,76.27,-529.59,-50.82
2713,51.11,0.0,3.78,25.34,95.79,10.0,-40.14,-419.05,4.969755945482622,3.31,39.08,28.4,801.95,76.27,-529.16,-50.74
2715,49.07,0.0,3.88,25.13,97.42,10.0,-42.89,-440.28,5.036660827605983,3.78,36.9,29.984285714285715,695.03,66.66,-510.78,-49.57
2718,51.2,0.0,3.74,25.24,94.31,10.0,-41.52,-440.27,3.663229634532868,3.78,39.81,29.984285714285715,801.95,76.27,-457.32,-42.3
2842,53.84,0.0,3.59,25.03,89.79,-1.0,16.73,186.18,5.784948770260692,4.56,44.6,26.3,864.66,78.9,-565.95,-51.2
3051,53.84,0.0,3.63,24.98,90.64,0.1,26.31,290.27,5.609154556764665,6.19,40.83,31.2,864.66,78.9,-627.63,-57.5
3053,52.3,0.0,3.64,25.2,91.62,0.1,26.52,289.46,5.749266219519278,6.19,39.8,27.6,920.42,86.18,-425.33,-39.16
3064,52.38,0.0,3.67,25.51,93.58,0.1,26.84,286.83,5.556151677886138,6.19,38.325,26.3,1156.5,109.1,-425.33,-39.16
3201,52.38,0.0,3.62,25.61,92.61,0.1,21.29,229.89,6.463868661843904,9.93,40.455,33.7,1156.5,109.1,-422.69,-38.31
3202,53.62,0.0,3.66,25.25,92.07,10.0,-43.56,-473.12,3.9030899869919438,4.2,40.150000000000006,34.1,1065.26,99.31,-505.21,-46.82
3204,53.4,0.0,3.74,25.43,95.07,10.0,-44.98,-473.12,4.4276808163314625,4.2,38.46,32.4,839.48,79.74,-567.05,-53.3
3743,53.28,0.0,3.75,25.35,95.06,-1.0,20.28,213.3333333,5.992222921767967,3.2,37.93,-30.0,798.89,75.95,-445.97,-42.65
3744,53.28,0.0,3.75,25.37,95.14,-1.0,20.3,213.3333333,5.5550956583105675,3.2,37.0,-37.1,798.89,75.95,-445.97,-42.65
3745,53.28,0.0,3.75,25.4,95.25,-1.0,24.64,258.687664,5.151188984260521,2.2,37.19,-40.7,798.89,75.95,-445.97,-42.65
3746,53.28,0.0,3.75,25.4,95.25,-1.0,24.64,258.687664,4.905477460877743,2.2,37.4,-37.0,798.89,75.95,-445.97,-42.65
3747,53.28,0.0,3.75,25.23,94.61,-1.0,24.47,258.6529533,4.951619184484154,2.2,39.16,-38.8,818.47,77.59,-397.56,-37.77
3748,53.28,0.0,3.75,25.44,95.4,0.1,46.05,482.7044025,3.8661691476337707,3.2,36.44,-38.3,798.89,75.95,-445.97,-42.65
3749,53.28,0.0,3.75,25.34,95.03,0.1,45.87,482.715075,3.630427875025024,3.2,39.44,-36.2,798.89,75.95,-445.97,-42.65
